RefSeq ID	spacer_start	spacer_end	direction	confidence
NC_011059	1536052	1536084	F	HIGH
NZ_JXCI01000002	11883	11919	F	HIGH
NZ_CZAG01000004	404306	404340	F	HIGH
NZ_HF954534	146155	146194	R	LOW
NZ_ABTR02000001	1119240	1119274	F	HIGH
NZ_ABTR02000001	1119240	1119274	F	HIGH
NZ_ABTR02000001	1119111	1119145	F	HIGH
NZ_JH370363	54940	54972	F	MEDIUM
NZ_JH370363	54872	54909	F	LOW
NZ_JH370363	55072	55105	R	LOW
NZ_JH370363	55265	55301	R	MEDIUM
NZ_JH370363	55201	55234	R	LOW
NZ_JH370363	55728	55764	R	HIGH
NZ_JNOK01000009	497441	497473	R	HIGH
NZ_LUAU01000001	1545843	1545880	R	MEDIUM
NZ_JNOL01000009	497343	497375	R	HIGH
NZ_MDXJ01000022	97570	97602	F	HIGH
NZ_CP017961	971711	971743	F	HIGH
NZ_AWTD01000008	233756	233788	F	HIGH
NZ_JQAE01000001	97531	97563	F	HIGH
NC_003143	2895554	2895585	F	MEDIUM
NZ_JQAF01000001	97531	97563	F	HIGH
NZ_JQAG01000001	97531	97563	F	HIGH
NZ_CP003328	1550348	1550380	NA	NA
NZ_LIUO01000024	171459	171492	F	MEDIUM
NZ_LMVD01000003	164520	164553	F	LOW
NZ_CP003328	1550108	1550140	R	HIGH
NZ_LQGP01000040	190010	190043	R	LOW
NZ_LQGM01000013	170777	170810	F	LOW
NZ_CP014618	217146	217179	R	LOW
NZ_CP006976	336413	336446	R	LOW
NZ_GG698833	4921	4951	F	HIGH
NZ_GG704608	218249	218279	R	HIGH
NZ_LJGQ01000076	12077	12107	R	HIGH
NZ_PSQI01000003	90358	90391	F	MEDIUM
NZ_PSQH01000012	29480	29513	F	MEDIUM
NZ_FMZN01000003	186090	186130	R	LOW
NZ_GG704608	218183	218213	R	HIGH
NZ_JQEB01000003	15743	15775	R	LOW
NZ_JPHI01000002	16141	16173	R	LOW
NZ_JQAC01000002	16141	16173	R	LOW
NZ_JQAB01000002	16141	16173	R	LOW
NZ_JQAD01000002	16141	16173	R	LOW
NZ_JQAI01000002	16141	16173	R	LOW
NZ_LQDY01000004	95664	95697	F	MEDIUM
NZ_LQEA01000004	95664	95697	F	MEDIUM
NZ_LQEI01000028	95616	95649	F	MEDIUM
NZ_CMZP01000027	23459	23489	R	MEDIUM
NZ_AWTD01000005	273653	273683	F	LOW
NZ_JQAE01000008	273618	273648	F	LOW
NZ_JQAF01000008	273816	273846	F	LOW
NZ_JQAG01000008	273816	273846	F	LOW
NZ_CDQL01000002	14183	14217	F	HIGH
NZ_AJSX01000007	54142	54178	R	HIGH
NZ_JGDV01000041	476	509	R	LOW
NZ_JUPJ01000212	31525	31558	F	HIGH
NZ_JUOZ01000178	8376	8409	R	LOW
NZ_JNHP01000003	204351	204385	R	HIGH
NZ_ATTH01000001	3178211	3178253	F	HIGH
NZ_JNHQ01000032	31661	31695	R	HIGH
NC_003228	2998227	2998261	R	HIGH
NC_003228	2998290	2998324	R	HIGH
NC_003228	2998419	2998455	R	HIGH
NZ_PDCX01000015	121737	121773	F	HIGH
NZ_PDCX01000015	121868	121902	F	HIGH
NZ_PDCX01000015	121931	121965	F	HIGH
NZ_PDCU01000005	272801	272835	R	HIGH
NZ_PDCU01000005	272864	272898	R	HIGH
NZ_PDCU01000005	272993	273029	R	HIGH
NZ_ATTH01000001	3178290	3178330	F	HIGH
NZ_JGDT01000063	13324	13358	R	HIGH
